trade_date,000300.SH,510880.SH,H11009.CSI,510410.SH,518880.SH
2015-01-05,3641.541,2.746,151.8271,0.85,2.414
2015-01-06,3641.059,2.741,151.9258,0.83,2.435
2015-01-07,3643.79,2.731,151.9196,0.837,2.445
2015-01-08,3559.259,2.668,151.9974,0.819,2.431
2015-01-09,3546.723,2.651,152.0679,0.814,2.439
2015-01-12,3513.576,2.597,152.171,0.786,2.458
2015-01-13,3514.04,2.6,152.318,0.786,2.471
2015-01-14,3502.423,2.591,152.4609,0.77,2.466
2015-01-15,3604.121,2.667,152.7286,0.786,2.462
2015-01-16,3635.146,2.692,152.9488,0.799,2.518
2015-01-19,3355.155,2.446,153.1537,0.742,2.567
2015-01-20,3396.222,2.426,153.1995,0.759,2.57
2015-01-21,3548.885,2.527,153.3007,0.788,2.62
2015-01-22,3567.613,2.528,153.4523,0.807,2.589
2015-01-23,3571.732,2.525,153.5072,0.8,2.607
2015-01-26,3607.985,2.556,153.6511,0.81,2.609
2015-01-27,3574.931,2.537,153.6298,0.801,2.589
2015-01-28,3525.323,2.519,153.5061,0.794,2.598
2015-01-29,3481.798,2.495,153.4306,0.784,2.585
2015-01-30,3434.39,2.477,153.3455,0.776,2.542
2015-02-02,3353.96,2.406,153.3344,0.759,2.586
2015-02-03,3437.445,2.442,153.3631,0.77,2.588
2015-02-04,3401.768,2.423,153.4139,0.764,2.56
2015-02-05,3366.946,2.386,153.677,0.751,2.576
2015-02-06,3312.42,2.325,153.5346,0.733,2.564
2015-02-09,3345.921,2.326,153.5776,0.731,2.504
2015-02-10,3406.943,2.373,153.548,0.733,2.514
2015-02-11,3434.124,2.378,153.5463,0.734,2.504
2015-02-12,3442.874,2.383,153.7172,0.732,2.479
2015-02-13,3469.828,2.41,153.8721,0.749,2.496
2015-02-16,3499.483,2.419,154.1159,0.754,2.498
2015-02-17,3522.322,2.442,154.2437,0.758,2.488
2015-02-25,3478.729,2.429,154.4517,0.752,2.466
2015-02-26,3566.295,2.503,154.4251,0.775,2.464
2015-02-27,3572.843,2.503,154.4101,0.78,2.465
2015-03-02,3601.265,2.527,154.4434,0.794,2.485
2015-03-03,3507.9,2.495,154.316,0.782,2.467
2015-03-04,3530.822,2.498,154.261,0.787,2.459
2015-03-05,3496.344,2.468,154.1511,0.78,2.449
2015-03-06,3478.52,2.466,154.0292,0.789,2.439
2015-03-09,3537.75,2.538,153.9613,0.793,2.389
2015-03-10,3520.611,2.524,153.9594,0.797,2.368
2015-03-11,3524.653,2.535,154.0208,0.784,2.369
2015-03-12,3592.844,2.59,154.2032,0.795,2.372
2015-03-13,3617.657,2.606,154.1803,0.799,2.359
2015-03-16,3705.671,2.656,154.0965,0.814,2.374
2015-03-17,3757.122,2.699,153.9566,0.831,2.358
2015-03-18,3846.055,2.785,154.036,0.845,2.341
2015-03-19,3839.739,2.782,153.9387,0.854,2.363
2015-03-20,3892.574,2.818,154.0703,0.853,2.354
2015-03-23,3972.061,2.876,154.1306,0.872,2.374
2015-03-24,3973.046,2.899,154.1017,0.873,2.383
2015-03-25,3940.412,2.882,154.0338,0.868,2.381
2015-03-26,3949.999,2.865,153.9089,0.879,2.404
2015-03-27,3971.697,2.886,153.643,0.884,2.406
2015-03-30,4088.178,2.971,153.6104,0.904,2.38
2015-03-31,4051.204,2.935,153.2959,0.886,2.366
2015-04-01,4123.895,2.981,153.239,0.895,2.371
2015-04-02,4124.776,3.023,153.5264,0.908,2.397
2015-04-03,4170.538,3.075,153.6178,0.915,2.392
2015-04-07,4260.044,3.181,153.5504,0.934,2.407
2015-04-08,4295.803,3.231,153.4044,0.93,2.408
2015-04-09,4262.138,3.221,153.2528,0.913,2.385
2015-04-10,4344.416,3.292,153.3419,0.932,2.384
2015-04-13,4421.073,3.33,153.4414,0.949,2.394
2015-04-14,4438.184,3.346,153.6212,0.944,2.374
2015-04-15,4380.513,3.321,153.7796,0.924,2.368
2015-04-16,4513.546,3.393,153.9711,0.951,2.386
2015-04-17,4596.136,3.455,154.0035,1.003,2.395
2015-04-20,4521.919,3.35,154.4589,0.995,2.417
2015-04-21,4619.164,3.412,154.8686,1.013,2.399
2015-04-22,4739.814,3.517,154.9245,1.031,2.411
2015-04-23,4740.892,3.527,154.9192,1.065,2.39
2015-04-24,4702.641,3.471,154.8467,1.053,2.399
2015-04-27,4807.592,3.542,154.948,1.096,2.376
2015-04-28,4741.861,3.475,155.0289,1.062,2.398
2015-04-29,4774.326,3.478,155.0643,1.081,2.411
2015-04-30,4749.886,3.477,155.183,1.061,2.409
2015-05-04,4787.741,3.527,155.3039,1.052,2.385
2015-05-05,4596.837,3.374,155.2577,1.016,2.381
2015-05-06,4553.327,3.299,155.2226,0.98,2.383
2015-05-07,4470.089,3.191,155.1844,0.965,2.358
2015-05-08,4558.404,3.258,155.2393,0.975,2.369
